province,physical_rows_after_header,nonempty_rows,named_rows,blank_rows,max_columns,row_stream_sha256
北京,340,338,338,2,3,4a53b216b5a2cb76954957b32d7208dbf9f19fc86d1bcc1f78f7094846c90c6e
上海,336,333,333,3,4,1f7ef12ba990beb5485dae0ed2cdfba58c11e9090d0d69100d95a94f53288fc5
天津,239,239,239,0,3,81a85ed8a789351c887e613794c8db756e38bca374d0d8916535e318ff6301b7
重庆,353,353,353,0,3,a63337e3e31ce64b0bb8608bf9c4438de30577d8fddb9caf2ef890c709cbf69b
河北,416,416,416,0,3,246db075319d505c51c241bf8e3316892d71dc2d8457ebda5739a0ac54fdc863
山西,301,301,301,0,3,628ea2fa18ec53b56900cbf67379f74bed58c683b567f4b567eab42c4d656da9
辽宁,52,52,52,0,3,f7c1aa8cb313af3ab07ccf008e99f5296f88043572028bf0ceb3777c45f4f95b
吉林,52,52,52,0,3,ba498889d23534518d08798c4e99475199e6ff7cbd2457bb345be3af2bb2c9fa
黑龙江,6,6,6,0,3,4db991844b70fae65058db5dcb6a0f768f9b5c3cb2877b958e80f6bebdc88f0c
江苏,552,551,551,1,4,7039dbe5181328e3eebacb88fae59577eef26f60722b3a5c8aa084db90c51b6d
浙江,588,588,588,0,3,27acab4036e0cbe0494154f6a7246acf92d39c60f4dc298e20258ece182254a8
安徽,388,388,388,0,3,b9654ca315135e150625b2d42a379d67abfe66ba74aa9c456a195f4c1bfeb4b8
福建,693,693,693,0,3,5f550a9d5215cdd54638cc056ffc404e0fc42a278788ed741325d019f4008931
江西,341,341,341,0,3,25319454399d1f69052913b346797521eb7fdbe20713893099a409b48e974e2d
山东,368,368,368,0,3,e87cff6450abf4cec8320e7b7b21a92228d4d9b8ad35bb9929b6173c8a1b85cf
河南,462,462,462,0,3,dc92accc0d21bff866a7aaddc58219a632670855da368c88909514d9d0108a85
湖北,591,591,591,0,3,5effec9a8de4bac5a31ab7100039d7b2118caacf2a25ce58b63b3b9a986341fb
湖南,328,324,324,4,3,7a0309b89320c868c48a9eb268b7f44476d27427de66c45cbc3e2e9ca2658586
广东,620,616,616,4,3,4a820b9397fa0dc94921c4cbb2812b22f9cdcc5dfbc5c06cfa34244cde6b2570
海南,420,420,420,0,3,0c3371b7b3db481f704d20771dacf109ef1a10689dc3ddf89011223f2498780c
四川,602,602,602,0,3,0432a61f369649caae0aadf7cb7b644ea6364e5d8c944a7fea256164184580de
贵州,79,78,78,1,4,4fac0d4cc6e77e2580129e31424a4fdb348a3811e74793364d2ec8b89ff4318b
云南,519,519,519,0,3,07f17bf2b7026a63597199ed38062d66da9fe78462666654ad0b50051a72032c
陕西,335,335,335,0,3,9aa809e732953fde772a542115c35b9fed46d2bfba27481e4c72a4df30e6b47e
甘肃,424,423,423,1,3,8851ea6e513c4a8c2cefbf93b7fda4d841909c7a27950f9923f0a624f23a8279
青海,259,259,259,0,3,a0e63ae876bd6b260327de69470cd9f5760382136c008c500247075a9bac3bcf
内蒙古,421,421,421,0,3,97bfa68579b0735517bc7e695e302330d76b146765c0ba1bf176db36a9f9936e
广西,329,329,329,0,3,5111105ad52b26b9b6c6735e28e0d4a1e3ebf780f70603cada26afce714b2583
宁夏,301,301,301,0,3,72bc9d560e373fd71880e04a1140b9d12cf20c307196cdf0faecfb17a1443d55
新疆,45,44,44,1,3,a77fe6231f3f2337c3508e1466128f0831ac802893b94ecb4afea86a82be1fdd
西藏,2,1,0,1,3,6a4cb9fa37ae0cfa74b9a8a97c90ffc3d1a456bbf8260006103b4c36026a8658
