name_normalized	org	title	grade	etype	etitle	url	date	notes
许文显	福建元力活性炭股份有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议庆祝中国共产党成立105周年大会（三）	https://www.52hrtt.com/ec/n/w/info/G1782885486829	2026-07-05	福建省工商联来源的2026-07材料同段明确省工商联常委、福建元力活性炭股份有限公司董事长许文显。
孙福	福建省怡景林业集团有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议民营企业座谈会精神	https://www.52hrtt.com/ny/n/w/info/G1739930573261	2025-02-20	闽商报/福建省工商联材料同段明确福建省工商联常委、福建省怡景林业集团有限公司董事长孙福。
杜锦祥	福建杜氏木业有限公司	董事长兼总经理	B	federation_sourced_current_role_and_identity	闽商热议庆祝中国共产党成立105周年大会（三）	https://www.52hrtt.com/ec/n/w/info/G1782885486829	2026-07-05	福建省工商联来源的2026-07材料同段明确省工商联常委、福建杜氏木业有限公司董事长兼总经理杜锦祥。
李有财	福建星云电子股份有限公司	董事长	A	listed_company_filing_current_role_and_federation_identity	福建星云电子股份有限公司2025年年度报告	https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-25/b07d2af9-4bb8-4e97-b489-17af900a422e.PDF	2026-04-25	深交所披露的2025年年报同时列明李有财为福建省工商联常委及公司董事长，身份和现职在同一原始披露中闭合。
杨静	龙合智能装备制造有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议民营企业座谈会精神	https://www.52hrtt.com/ny/n/w/info/G1739930573261	2025-02-20	闽商报/福建省工商联材料同段明确福建省工商联常委、龙合智能装备制造有限公司董事长杨静；源记录女性标注一致。
吴刘驰	新中冠智能科技股份有限公司	副董事长	A	government_official_current_role_and_federation_identity	推动福建品牌全域出海	https://www.fujian.gov.cn/zwgk/ztzl/2026lh/lhhsy/wysy/202601/t20260127_7085633.htm	2026-01-27	福建省政府2026-01直接写明省政协委员、省工商联常委、新中冠智能科技股份有限公司副董事长吴刘驰；源记录女性标注一致。
吴家莹	佳好集团（厦门）有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议民营企业座谈会精神	https://www.52hrtt.com/ny/n/w/info/G1739930573261	2025-02-20	闽商报/福建省工商联材料同段明确福建省工商联常委、佳好集团（厦门）有限公司董事长吴家莹。
沈木辉	天津市福建商会	会长	B	formal_chamber_current_role_with_federation_identity	天津市福建商会会长沈木辉参加福建省工商联十二届八次常委会议	https://www.52hrtt.com/lsj/n/w/info/G1786946844362	2026-08-21	2026-08商会公开材料明确沈木辉为天津市福建商会会长，并在正文明确其福建省工商联常委身份。
陈文	福建新华源科技集团	总裁	B	federation_sourced_current_role_and_identity	福建两场会议聚焦民营经济，引发闽商热议（四）	https://www.52hrtt.com/fj/n/w/info/G1770704315009	2026-02-28	福建省工商联办公室来源材料同段明确福建省工商联常委、福建新华源科技集团总裁陈文；源记录满族注记进一步辅助身份消歧。
陈必松	福建源鑫投资集团有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议民营企业座谈会精神（二）	https://www.52hrtt.com/lvus/n/w/info/G1739930657579	2025-02-21	闽商报/福建省工商联材料同段明确福建省工商联常委、福建省中外企业家联谊会会长、福建源鑫投资集团有限公司董事长陈必松。
陈成辉	科华数据股份有限公司	董事长	B	authoritative_financial_media_current_role_and_federation_identity	科华数据董事长陈成辉相关当前履历	https://finance.sina.com.cn/stock/aiassist/agqsjs/2026-08-31/doc-iniqcwhz7949861.shtml	2026-08-31	2026-08公开当前履历同时列明陈成辉为科华数据董事长及福建省工商联执委、常委，身份与现职形成上下文闭合。
陈建华	福建建阳金石氟业有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议庆祝中国共产党成立105周年大会（三）	https://www.52hrtt.com/ec/n/w/info/G1782885486829	2026-07-05	福建省工商联来源的2026-07材料同段明确省工商联常委、福建建阳金石氟业有限公司董事长陈建华。
陈祖元	福州宜美电子有限公司	董事长	B	federation_sourced_current_role_and_identity	福建两场会议聚焦民营经济，引发闽商热议（四）	https://www.52hrtt.com/fj/n/w/info/G1770704315009	2026-02-28	福建省工商联办公室来源材料同段明确福建省工商联常委、福州市莆田商会会长、福州宜美电子有限公司董事长陈祖元。
陈银平	福建星光中科投资集团有限公司	董事长	B	federation_sourced_current_role_and_identity	闽商热议庆祝中国共产党成立105周年大会	https://www.52hrtt.com/br/n/w/info/G1782885360334	2026-07-03	福建省工商联来源的2026-07材料明确福建省工商联常委、福建星光中科投资集团有限公司董事长陈银平；源记录女性标注一致。
