queue_order,person_id,province,excel_row,name_normalized,source_federation_role,identity_resolution,candidate_names,current_organization,current_title,current_verification_status,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,unresolved_reason,research_notes
1441,FC2515-P13-R0208,福建,208,傅芬芳,常委,REUSED_SEALED_EVIDENCE_SAME_REPOSITORY_AMBIGUITY_GROUP,傅芬芳,,,UNRESOLVED_CURRENT_ORG_TITLE,federation_official_historical_identity_plus_targeted_current_research,A,福建省工商业联合会（总商会）第十二届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html,2022-08-30,2026年上市公司年报资料支持圣农发展董事、总经理傅芬芳，源表则为福建圣农实业有限公司董事长；本轮未取得当前省工商联身份与新职务的直接桥接，保留未决。,与已封存 queue 1258 同省、同名且同 ambiguity_group_id=ANG-0498；复用证据但保留独立 person_id。2026-09-20已针对政府、全国工商联、企业官网、上市公司/权威媒体进行当前角色检索；因身份桥或时效性不足保持未决。历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1442,FC2515-P13-R0209,福建,209,曾俩相,常委,CURRENT_ROLE_CONFIRMED_WITH_CONTEXTUAL_IDENTITY_BRIDGE,曾俩相,德化县陶瓷同业公会,会长,CURRENT_ORG_TITLE_CONFIRMED,government_official_current_role_with_regional_identity_bridge,A,福建德化：成立陶瓷知识产权司法行政协同保护中心,https://www.court.gov.cn/zixun/xiangqing/501861.html,2026-06-04,,最高人民法院网站所载人民法院报2026-06材料明确“福建省人大代表、德化县陶瓷同业公会会长曾俩相”；结合全国工商联福建省第十二届执委会官方历史名册中的同名常委、福建地域与陶瓷行业上下文形成身份桥，而非姓名单字段匹配。 历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1443,FC2515-P13-R0210,福建,210,谢金鉴,常委,CURRENT_ROLE_CONFIRMED_WITH_CONTEXTUAL_IDENTITY_BRIDGE,谢金鉴,福建神六集团,总裁,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media_federation_context_current_role,B,吴家莹、杨静、杜锦祥、许文显、孙福、谢金鉴……福建民营企业家热议民营企业座谈会（八）,https://www.52hrtt.com/ny/n/w/info/G1739930573261,2025-02-20,,闽商报材料在福建省工商联组织学习民营企业座谈会的上下文中，同一行直接写明“福建省工商联常委、福建神六集团总裁谢金鉴”，历史身份与企业职务在同一来源闭合；本批检索未发现更新的相反任职信息。 历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1444,FC2515-P13-R0211,福建,211,雷敏,常委,HISTORICAL_IDENTITY_CURRENT_ROLE_UNRESOLVED,雷敏,,,UNRESOLVED_CURRENT_ORG_TITLE,federation_official_historical_identity_plus_targeted_current_research,A,福建省工商业联合会（总商会）第十二届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html,2022-08-30,当前公开检索存在多名福建同名雷敏，未发现能同时连接福建省工商联常委源身份与当前单位职务的权威证据；禁止按姓名择一。,2026-09-20完成本批当前角色公开检索；禁止以姓名单字段认人。历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1445,FC2515-P13-R0212,福建,212,雷祖云,常委,HISTORICAL_IDENTITY_CURRENT_ROLE_UNRESOLVED,雷祖云,,,UNRESOLVED_CURRENT_ORG_TITLE,federation_official_historical_identity_plus_targeted_current_research,A,福建省工商业联合会（总商会）第十二届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html,2022-08-30,2026上市公司股东披露出现同名雷祖云，但该材料仅证明证券持股且缺少与福建省工商联常委源身份的桥接，也不能据此推出当前单位职务，故保持未决。,2026-09-20完成本批当前角色公开检索；禁止以姓名单字段认人。历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1446,FC2515-P13-R0213,福建,213,蔡劲军,常委,REUSED_SEALED_EVIDENCE_SAME_REPOSITORY_AMBIGUITY_GROUP,蔡劲军,福建火炬电子科技股份有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media_current_role_with_federation_identity,B,教育科技人才发展如何一体推进？福建省政协探寻更优实践路径,https://finance.sina.com.cn/roll/2026-09-05/doc-iniqupts5096447.shtml,2026-09-05,,与已封存 queue 1259 同省、同名且同 ambiguity_group_id=ANG-0618；复用证据但保留独立 person_id。新华社2026-09报道直接写明福建省政协常委、福建省工商联副主席、福建火炬电子科技股份有限公司董事长蔡劲军，身份与现职同时闭合。 历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1447,FC2515-P13-R0214,福建,214,蔡金钗,常委,REUSED_SEALED_EVIDENCE_SAME_REPOSITORY_AMBIGUITY_GROUP,蔡金钗,福建盼盼食品集团,总裁,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media_current_role_with_federation_identity,B,泉州公安：破获经济犯罪案件570余起,https://www.cnr.cn/fj/yw/20260514/t20260514_527619461.shtml,2026-05-14,,与已封存 queue 1260 同省、同名且同 ambiguity_group_id=ANG-0622；复用证据但保留独立 person_id。央广网2026-05同段直接写明十四届全国人大代表、福建省工商联副主席、福建盼盼食品集团总裁蔡金钗。 历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1448,FC2515-P13-R0215,福建,215,蔡海防,常委,HISTORICAL_IDENTITY_CURRENT_ROLE_UNRESOLVED,蔡海防,,,UNRESOLVED_CURRENT_ORG_TITLE,federation_official_historical_identity_plus_targeted_current_research,A,福建省工商业联合会（总商会）第十二届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html,2022-08-30,2026-09福建金融监管材料核准同名蔡海防任建设银行福建省分行副行长，但未找到证据将该银行高管与福建省工商联常委源记录安全闭合；姓名相同不足以认定同一人。,2026-09-20完成本批当前角色公开检索；禁止以姓名单字段认人。历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1449,FC2515-P13-R0216,福建,216,蔡裕泰,常委,HISTORICAL_IDENTITY_CURRENT_ROLE_UNRESOLVED,蔡裕泰,,,UNRESOLVED_CURRENT_ORG_TITLE,federation_official_historical_identity_plus_targeted_current_research,A,福建省工商业联合会（总商会）第十二届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html,2022-08-30,针对福建工商联、商会、企业及政府公开资料检索后，未取得可同时闭合源工商联身份与当前单位职务的可靠证据，故保持未决。,2026-09-20完成本批当前角色公开检索；禁止以姓名单字段认人。历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
1450,FC2515-P13-R0217,福建,217,廖志南,常委,CURRENT_ROLE_CONFIRMED_WITH_CONTEXTUAL_IDENTITY_BRIDGE,廖志南,莱尔斯特（厦门）股份有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media_federation_context_current_role,B,曹晖、柯希平、董加余、廖志南、陈银平……闽商热议庆祝中国共产党成立105周年大会（一）,https://www.52hrtt.com/br/n/w/info/G1782885360334,2026-07-03,,闽商报2026-07材料在福建省工商联组织系统活动上下文中直接写明“省工商联常委、莱尔斯特（厦门）股份有限公司董事长廖志南”；另有全国工商联全联新能源商会及行业商会当前资料继续列其为莱尔斯特董事长，身份与现职安全闭合。 历史身份锚点：https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_fj/202208/t20220830_312930.html
