queue_order	person_id	name_normalized	ambiguity_group_id	mode	prior_sealed_gate	prior_sealed_queue	decision	identity_anchor_url	bridge_url	evidence_url	note_code
2701	FC2515-P20-R0213	江祖锋	ANG-1148	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2607	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2702	FC2515-P20-R0215	许方瑜	ANG-1165	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2608	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2703	FC2515-P20-R0219	孙超	ANG-1114	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2609	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2704	FC2515-P20-R0222	严宇	ANG-1101	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2610	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2705	FC2515-P20-R0224	杜昂	ANG-1136	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2611	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2706	FC2515-P20-R0225	李玮	ANG-1132	REUSE_SEALED_CONFIRMED	W3-BATCH-0044	2612	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://www.10100.com/article/114611303	REUSE_CONFIRMED_CURRENT_RECHECK
2707	FC2515-P20-R0230	李辉	ANG-1135	REUSE_SEALED_CONFIRMED	W3-BATCH-0044	2613	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://epaper.cs.com.cn/zgzqb/html/2025-02/26/nw.D110000zgzqb_20250226_1-B016.htm	REUSE_CONFIRMED_CURRENT_RECHECK
2708	FC2515-P20-R0231	李一青	ANG-1128	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2614	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2709	FC2515-P20-R0233	李华新	ANG-1129	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2615	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2710	FC2515-P20-R0234	李合岭	ANG-1130	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2616	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2711	FC2515-P20-R0236	李红勋	ANG-1133	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2617	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2712	FC2515-P20-R0238	李诗源	ANG-1134	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2618	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2713	FC2515-P20-R0239	李建炜	ANG-1131	REUSE_SEALED_CONFIRMED	W3-BATCH-0044	2619	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://www.soucoc.com/zixun/shanghuihao/20260113/hao17683257675400.html	REUSE_CONFIRMED_CURRENT_RECHECK
2714	FC2515-P20-R0243	杨坤	ANG-1137	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2620	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2715	FC2515-P20-R0244	杨莹	ANG-1139	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2621	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2716	FC2515-P20-R0246	杨文锋	ANG-1138	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2622	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2717	FC2515-P20-R0253	吴忠	ANG-1111	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2623	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2718	FC2515-P20-R0255	吴汉陵	ANG-1112	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2624	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2719	FC2515-P20-R0268	何廷坚	ANG-1104	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2625	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2720	FC2515-P20-R0269	沈琦雅	ANG-1149	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2626	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2721	FC2515-P20-R0270	宋军	ANG-1115	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2627	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2722	FC2515-P20-R0273	张轶	ANG-1123	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2628	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2723	FC2515-P20-R0276	张少华	ANG-1119	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2629	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2724	FC2515-P20-R0281	张洪波	ANG-1121	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2630	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2725	FC2515-P20-R0282	张跃光	ANG-1122	REUSE_SEALED_CONFIRMED	W3-BATCH-0044	2631	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://www.acfic.org.cn/lqfw/zzjs/zwdwjs/202506/t20250617_309772.html	REUSE_CONFIRMED_CURRENT_RECHECK
2726	FC2515-P20-R0283	张新萍	ANG-1120	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2632	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2727	FC2515-P20-R0287	陈江	ANG-1180	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2633	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2728	FC2515-P20-R0288	陈江	ANG-1180	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2633	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2729	FC2515-P20-R0289	陈忱	ANG-1178	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2634	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2730	FC2515-P20-R0290	陈杰	ANG-1179	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2635	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2731	FC2515-P20-R0293	陈隽	ANG-1185	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2636	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2732	FC2515-P20-R0295	陈得	ANG-1177	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2637	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2733	FC2515-P20-R0297	陈静	ANG-1186	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2638	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2734	FC2515-P20-R0309	陈秋苗	ANG-1183	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2639	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2735	FC2515-P20-R0311	陈益智	ANG-1182	REUSE_SEALED_UNRESOLVED	W3-BATCH-0044	2640	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
