queue_order,person_id,province,excel_row,identity_resolution,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
3121,FC2515-P22-R0010,贵州,10,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1362,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3122,FC2515-P22-R0011,贵州,11,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1355,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3123,FC2515-P22-R0012,贵州,12,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1354,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,2026_ROLE_TRANSITION_NO_DETERMINISTIC_CURRENT_ORG_TITLE
3124,FC2515-P22-R0032,贵州,32,FRESH_BRIDGED_EVIDENCE:ANG-1365,贵州省工商业联合会,秘书长,CURRENT_ORG_TITLE_CONFIRMED,A,https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm,
3125,FC2515-P22-R0034,贵州,34,REUSED_SEALED_EVIDENCE_C:0052:3115:ANG-1357,贵州省工商业联合会,主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.globalgase.com/4/2/2231361,
3126,FC2515-P22-R0035,贵州,35,REUSED_SEALED_EVIDENCE_U:0052:3116:ANG-1356,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_2026_ROLE_NOT_DETERMINISTIC_AFTER_CPPCC_RESIGNATION_JOB_CHANGE_OR_AGE
3127,FC2515-P22-R0037,贵州,37,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1363,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3128,FC2515-P22-R0038,贵州,38,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1360,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3129,FC2515-P22-R0039,贵州,39,REUSED_SEALED_EVIDENCE_C:0052:3117:ANG-1358,贵州省总工会,党组成员、副主席,CURRENT_ORG_TITLE_CONFIRMED,B,https://gz.people.com.cn/n2/2026/0824/c372082-41676237.html,
3130,FC2515-P22-R0040,贵州,40,REUSED_SEALED_EVIDENCE_C:0052:3118:ANG-1364,贵州省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,C,https://www.sohu.com/a/1027956651_121106902,
3131,FC2515-P22-R0041,贵州,41,FRESH_BRIDGED_EVIDENCE:ANG-1365,贵州省工商业联合会,秘书长,CURRENT_ORG_TITLE_CONFIRMED,A,https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm,
3132,FC2515-P22-R0042,贵州,42,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1361,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3133,FC2515-P22-R0047,贵州,47,REUSED_SEALED_EVIDENCE_U:0052:3119:ANG-1366,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3134,FC2515-P22-R0048,贵州,48,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1361,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3135,FC2515-P22-R0051,贵州,51,REUSED_SEALED_EVIDENCE_C:0052:3120:ANG-1359,世纪恒通科技股份有限公司,董事、总经理,CURRENT_ORG_TITLE_CONFIRMED,B,https://www.yicai.com/news/103365472.html,
3136,FC2515-P22-R0054,贵州,54,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1362,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3137,FC2515-P22-R0056,贵州,56,REUSED_SEALED_EVIDENCE_C:0052:3115:ANG-1357,贵州省工商业联合会,主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.globalgase.com/4/2/2231361,
3138,FC2515-P22-R0057,贵州,57,REUSED_SEALED_EVIDENCE_U:0052:3116:ANG-1356,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_2026_ROLE_NOT_DETERMINISTIC_AFTER_CPPCC_RESIGNATION_JOB_CHANGE_OR_AGE
3139,FC2515-P22-R0058,贵州,58,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1363,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
