queue_order	person_id	name_normalized	ambiguity_group_id	mode	source_gate	source_queue_order	decision	identity_anchor_url	research_url	evidence_url	research_note
3361	FC2515-P23-R0315	吴云龙	ANG-1375	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3241	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3362	FC2515-P23-R0316	吴龙驹	ANG-1380	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3242	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3363	FC2515-P23-R0317	吴存良	ANG-1376	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3243	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3364	FC2515-P23-R0318	吴官祥	ANG-1377	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3244	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3365	FC2515-P23-R0320	吴春花	ANG-1378	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3245	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			CURRENT_2026_GOVERNMENT_ROLE_HIT_WITHOUT_SAFE_FEDERATION_IDENTITY_BRIDGE
3366	FC2515-P23-R0322	吴登刚	ANG-1379	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3246	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3367	FC2515-P23-R0324	邱力为	ANG-1468	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3247	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3368	FC2515-P23-R0326	何卫	ANG-1367	REUSE_SEALED_CONFIRMED	W3-BATCH-0055	3248	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://www.puerw.cn/content/202603/16/c480138.html	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3369	FC2515-P23-R0327	何祖训	ANG-1368	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3249	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3370	FC2515-P23-R0328	余永红	ANG-1370	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3250	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3371	FC2515-P23-R0331	余志柏	ANG-1369	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3251	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			CURRENT_2026_CPPCC_ROLE_HIT_WITHOUT_SAFE_FEDERATION_IDENTITY_BRIDGE
3372	FC2515-P23-R0335	汪建文	ANG-1433	REUSE_SEALED_UNRESOLVED	W3-BATCH-0055	3252	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
